[??:11/3/??:??.??:??],1,date
[??:14/7/??:??.??:??],1,date
[??:17/7/??:??.??:??],1,date
[??:2/5/??:??.??:??],1,date
[??:6/9/??:??.??:??],1,date
[??:??/1/1983:??.??:??],1,date
[??:??/1/??:??.??:??],2,date
[??:??/10/1977:??.??:??],1,date
[??:??/10/??:??.??:??],4,date
[??:??/11/??:??.??:??],1,date
[??:??/4/98:??.??:??],1,date
[??:??/5/68:??.??:??],1,date
[??:??/5/??:??.??:??],4,date
[??:??/6/??:??.??:??],3,date
[??:??/7/??:??.??:??],4,date
[??:??/8/??:??.??:??],6,date
[??:??/9/2000:??.??:??],1,date
[??:??/9/??:??.??:??],5,date
[??:??/??/??:12.00:pm],1,date
[??:??/??/??:12.30:??],1,date
[??:??/??/??:4.30:??],1,date
[??:??/??/??:4.??:??],1,date
[??:??/??/??:6.00:pm],2,date
[??:??/??/??:7.00:pm],1,date
[??:??/??/??:8.00:pm],1,date
[G:??/??/??:??.??:??],9,date
[G:??/??/??:??.??:pm],2,date
[J:??/??/??:??.??:??],7,date
[J:??/??/??:??.??:pm],1,date
[L:??/??/??:??.??:??],9,date
[M:??/??/??:??.??:??],1,date
[V:??/??/??:6.00:pm],1,date
[V:??/??/??:??.??:??],6,date
[V:??/??/??:??.??:pm],1,date
[s:xix],4,date
[s:xvii],1,date
[s:xviii],1,date
[s:xx],2,date
[s:xxi],1,date
